Date Time,Active Power
04-02-2016 07:30,35.565865
04-02-2016 07:45,35.399598
04-02-2016 08:00,43.451228
04-02-2016 08:15,41.504164
04-02-2016 08:30,40.419693
04-02-2016 08:45,41.429834
04-02-2016 09:00,47.544478
04-02-2016 09:15,66.898357
04-02-2016 09:30,92.711041
04-02-2016 09:45,93.566483
04-02-2016 10:00,94.421925
04-02-2016 10:15,95.277366
04-02-2016 10:30,96.132808
04-02-2016 10:45,96.98825
04-02-2016 11:00,97.843692
04-02-2016 11:15,98.699134
04-02-2016 11:30,99.554575
04-02-2016 11:45,100.410017
04-02-2016 12:00,101.265459
04-02-2016 12:15,102.120901
04-02-2016 12:30,102.976343
04-02-2016 12:45,103.831784
04-02-2016 13:00,104.687226
04-02-2016 13:15,105.542668
04-02-2016 13:30,106.39811
04-02-2016 13:45,107.253552
04-02-2016 14:00,108.108993
04-02-2016 14:15,108.964435
04-02-2016 14:30,109.819877
04-02-2016 14:45,110.675319
04-02-2016 15:00,111.530761
04-02-2016 15:15,112.386202
04-02-2016 15:30,113.241644
04-02-2016 15:45,133.510428
04-02-2016 16:00,131.434712
04-02-2016 16:15,129.358996
04-02-2016 16:30,130.506011
04-02-2016 16:45,132.850804
04-02-2016 17:00,135.195597
04-02-2016 17:15,130.861215
04-02-2016 17:30,126.526834
04-02-2016 17:45,122.192453
04-02-2016 18:00,117.858072
04-02-2016 18:15,113.523691
04-02-2016 18:30,109.189309
04-02-2016 18:45,104.854928
04-02-2016 19:00,100.520547
04-02-2016 19:15,96.186166
04-02-2016 19:30,91.851785
04-02-2016 19:45,87.517404
04-02-2016 20:00,83.183022
04-02-2016 20:15,78.848641
04-02-2016 20:30,74.51426
04-02-2016 20:45,70.179879
04-02-2016 21:00,65.845498
04-02-2016 21:15,66.000199
04-02-2016 21:30,63.827208
04-02-2016 21:45,64.868234
04-02-2016 22:00,63.8286
04-02-2016 22:15,62.788967
04-02-2016 22:30,48.163682
04-02-2016 22:45,51.184033
04-02-2016 23:00,44.204728
04-02-2016 23:15,49.688902
04-02-2016 23:30,49.387675
04-02-2016 23:45,39.300831
04-03-2016 00:00,43.799831
04-03-2016 00:15,44.039148
04-03-2016 00:30,45.859031
04-03-2016 00:45,46.846417
04-03-2016 01:00,43.036033
04-03-2016 01:15,41.373061
04-03-2016 01:30,40.235407
04-03-2016 01:45,46.891509
04-03-2016 02:00,44.892816
04-03-2016 02:15,42.263014
04-03-2016 02:30,41.697998
04-03-2016 02:45,42.716228
04-03-2016 03:00,45.610452
04-03-2016 03:15,47.761622
04-03-2016 03:30,42.462516
04-03-2016 03:45,39.129563
04-03-2016 04:00,42.739196
04-03-2016 04:15,44.536067
04-03-2016 04:30,45.870351
04-03-2016 04:45,42.120966
04-03-2016 05:00,44.452242
04-03-2016 05:15,40.298204
04-03-2016 05:30,46.93916
04-03-2016 05:45,44.643057
04-03-2016 06:00,41.297555
04-03-2016 06:15,40.221072
04-03-2016 06:30,42.556787
04-03-2016 06:45,46.147379
04-03-2016 07:00,45.809067
04-03-2016 07:15,40.853621
04-03-2016 07:30,41.53415
04-03-2016 07:45,40.07789
04-03-2016 08:00,47.15265
04-03-2016 08:15,46.66285
04-03-2016 08:30,40.809263
04-03-2016 08:45,42.844632
04-03-2016 09:00,41.80343
04-03-2016 09:15,63.959508
04-03-2016 09:30,63.154981
04-03-2016 09:45,65.315084
04-03-2016 10:00,64.806427
04-03-2016 10:15,72.146403
04-03-2016 10:30,80.969498
04-03-2016 10:45,82.667824
04-03-2016 11:00,81.557298
04-03-2016 11:15,78.469294
04-03-2016 11:30,73.957692
04-03-2016 11:45,80.671795
04-03-2016 12:00,82.864163
04-03-2016 12:15,75.10732
04-03-2016 12:30,76.443152
04-03-2016 12:45,76.068086
04-03-2016 13:00,82.114331
04-03-2016 13:15,84.126991
04-03-2016 13:30,78.866902
04-03-2016 13:45,79.848114
04-03-2016 14:00,75.186509
04-03-2016 14:15,76.626274
04-03-2016 14:30,82.730864
04-03-2016 14:45,82.773746
04-03-2016 15:00,84.350968
04-03-2016 15:15,81.387739
04-03-2016 15:30,81.854716
04-03-2016 15:45,86.886211
04-03-2016 16:00,81.175297
04-03-2016 16:15,72.101502
04-03-2016 16:30,73.367945
04-03-2016 16:45,73.567928
04-03-2016 17:00,76.061977
04-03-2016 17:15,75.958801
04-03-2016 17:30,70.821044
04-03-2016 17:45,65.683286
04-03-2016 18:00,65.776815
04-03-2016 18:15,65.870344
04-03-2016 18:30,65.963873
04-03-2016 18:45,66.057402
04-03-2016 19:00,66.150931
04-03-2016 19:15,66.244461
04-03-2016 19:30,66.33799
04-03-2016 19:45,66.431519
04-03-2016 20:00,66.525048
04-03-2016 20:15,66.618577
04-03-2016 20:30,65.143842
04-03-2016 20:45,66.92786
04-03-2016 21:00,68.711878
04-03-2016 21:15,64.202481
04-03-2016 21:30,61.411478
04-03-2016 21:45,57.12009
04-03-2016 22:00,60.802988
04-03-2016 22:15,59.913448
04-03-2016 22:30,54.755799
04-03-2016 22:45,55.849092
04-03-2016 23:00,52.692683
04-03-2016 23:15,60.404984
04-03-2016 23:30,42.286221
04-03-2016 23:45,41.955552
04-04-2016 00:00,37.81574
04-04-2016 00:15,39.614657
04-04-2016 00:30,47.332611
04-04-2016 00:45,41.092251
04-04-2016 01:00,38.470511
04-04-2016 01:15,42.331449
04-04-2016 01:30,40.532213
04-04-2016 01:45,49.55704
04-04-2016 02:00,40.504422
04-04-2016 02:15,42.571406
04-04-2016 02:30,41.332404
04-04-2016 02:45,41.742436
04-04-2016 03:00,49.552614
04-04-2016 03:15,40.219089
04-04-2016 03:30,38.000875
04-04-2016 03:45,37.531384
04-04-2016 04:00,40.847338
04-04-2016 04:15,51.885212
04-04-2016 04:30,42.998529
04-04-2016 04:45,39.185462
04-04-2016 05:00,36.940321
04-04-2016 05:15,39.684591
04-04-2016 05:30,50.701244
04-04-2016 05:45,38.368322
04-04-2016 06:00,36.693492
04-04-2016 06:15,40.070471
04-04-2016 06:30,38.559042
04-04-2016 06:45,47.027444
04-04-2016 07:00,38.476801
04-04-2016 07:15,39.322754
04-04-2016 07:30,38.597417
04-04-2016 07:45,40.729719
04-04-2016 08:00,48.314017
04-04-2016 08:15,49.647954
04-04-2016 08:30,53.345813
04-04-2016 08:45,52.091219
04-04-2016 09:00,59.969358
04-04-2016 09:15,75.955851
04-04-2016 09:30,82.654026
04-04-2016 09:45,106.547719
04-04-2016 10:00,119.654876
04-04-2016 10:15,127.802304
04-04-2016 10:30,140.9483
04-04-2016 10:45,134.865798
04-04-2016 11:00,143.630499
04-04-2016 11:15,144.379882
04-04-2016 11:30,145.129264
04-04-2016 11:45,146.212246
04-04-2016 12:00,153.259475
04-04-2016 12:15,143.428111
04-04-2016 12:30,147.041797
04-04-2016 12:45,162.248525
04-04-2016 13:00,161.912026
04-04-2016 13:15,165.624828
04-04-2016 13:30,163.131145
04-04-2016 13:45,145.910071
04-04-2016 14:00,140.586306
04-04-2016 14:15,141.746722
04-04-2016 14:30,143.677714
04-04-2016 14:45,142.34546
04-04-2016 15:00,143.469164
04-04-2016 15:15,161.381352
04-04-2016 15:30,161.249639
04-04-2016 15:45,163.473949
04-04-2016 16:00,161.87181
04-04-2016 16:15,155.626942
04-04-2016 16:30,136.877311
04-04-2016 16:45,120.974964
04-04-2016 17:00,88.664479
04-04-2016 17:15,79.367327
04-04-2016 17:30,70.051275
04-04-2016 17:45,68.894184
04-04-2016 18:00,67.737094
04-04-2016 18:15,66.580004
04-04-2016 18:30,65.422913
04-04-2016 18:45,64.265823
04-04-2016 19:00,63.108733
04-04-2016 19:15,61.589559
04-04-2016 19:30,65.271267
04-04-2016 19:45,60.528339
04-04-2016 20:00,57.436225
04-04-2016 20:15,55.231951
04-04-2016 20:30,53.963381
04-04-2016 20:45,57.952822
04-04-2016 21:00,47.664845
04-04-2016 21:15,45.873905
04-04-2016 21:30,38.669232
04-04-2016 21:45,34.299971
04-04-2016 22:00,42.455815
04-04-2016 22:15,34.942384
04-04-2016 22:30,32.838528
04-04-2016 22:45,33.823118
04-04-2016 23:00,34.149683
04-04-2016 23:15,42.95583
04-04-2016 23:30,33.113852
04-04-2016 23:45,34.896282
04-05-2016 00:00,32.494847
04-05-2016 00:15,33.000971
04-05-2016 00:30,44.082127
04-05-2016 00:45,31.74481
04-05-2016 01:00,32.832476
04-05-2016 01:15,33.581825
04-05-2016 01:30,32.592665
04-05-2016 01:45,43.246415
04-05-2016 02:00,35.343188
04-05-2016 02:15,33.085816
04-05-2016 02:30,31.730844
04-05-2016 02:45,32.602564
04-05-2016 03:00,43.200418
04-05-2016 03:15,31.843414
04-05-2016 03:30,33.242824
04-05-2016 03:45,34.050697
04-05-2016 04:00,34.603453
04-05-2016 04:15,42.235959
04-05-2016 04:30,33.461069
04-05-2016 04:45,32.083197
04-05-2016 05:00,34.299234
04-05-2016 05:15,37.929803
04-05-2016 05:30,38.013106
04-05-2016 05:45,32.761182
04-05-2016 06:00,32.600031
04-05-2016 06:15,32.438879
04-05-2016 06:30,33.556271
04-05-2016 06:45,38.562738
04-05-2016 07:00,37.178212
04-05-2016 07:15,32.200485
04-05-2016 07:30,34.068627
04-05-2016 07:45,35.091182
04-05-2016 08:00,44.294458
04-05-2016 08:15,45.528098
04-05-2016 08:30,50.857544
04-05-2016 08:45,52.836026
04-05-2016 09:00,57.799394
04-05-2016 09:15,90.121122
04-05-2016 09:30,102.889031
04-05-2016 09:45,115.656939
04-05-2016 10:00,128.424848
04-05-2016 10:15,141.192757
04-05-2016 10:30,176.470131
04-05-2016 10:45,182.912534
04-05-2016 11:00,171.535987
04-05-2016 11:15,178.959478
04-05-2016 11:30,191.233187
04-05-2016 11:45,200.212367
04-05-2016 12:00,197.163411
04-05-2016 12:15,191.052867
04-05-2016 12:30,206.517294
04-05-2016 12:45,207.572598
04-05-2016 13:00,217.646039
04-05-2016 13:15,203.818464
04-05-2016 13:30,165.391769
04-05-2016 13:45,160.632296
04-05-2016 14:00,156.919573
04-05-2016 14:15,166.442705
04-05-2016 14:30,177.809291
04-05-2016 14:45,173.992771
04-05-2016 15:00,186.802807
04-05-2016 15:15,192.471654
04-05-2016 15:30,183.595024
04-05-2016 15:45,183.117424
04-05-2016 16:00,178.274347
04-05-2016 16:15,171.847362
04-05-2016 16:30,148.552865
04-05-2016 16:45,131.811809
04-05-2016 17:00,108.596728
04-05-2016 17:15,83.863744
04-05-2016 17:30,79.110795
04-05-2016 17:45,76.030998
04-05-2016 18:00,72.951202
04-05-2016 18:15,72.34476
04-05-2016 18:30,71.738318
04-05-2016 18:45,71.131876
04-05-2016 19:00,70.525435
04-05-2016 19:15,69.918993
04-05-2016 19:30,69.585081
04-05-2016 19:45,54.432902
04-05-2016 20:00,53.07664
04-05-2016 20:15,51.817745
04-05-2016 20:30,49.762234
04-05-2016 20:45,58.235737
04-05-2016 21:00,43.736054
04-05-2016 21:15,43.331415
04-05-2016 21:30,41.588195
04-05-2016 21:45,42.175703
04-05-2016 22:00,52.169849
04-05-2016 22:15,39.131915
04-05-2016 22:30,37.89175
04-05-2016 22:45,37.178175
04-05-2016 23:00,35.124815
04-05-2016 23:15,48.453119
04-05-2016 23:30,36.241297
04-05-2016 23:45,36.889803
04-06-2016 00:00,38.184434
04-06-2016 00:15,36.689575
04-06-2016 00:30,44.57947
04-06-2016 00:45,38.028296
04-06-2016 01:00,36.329721
04-06-2016 01:15,35.698686
04-06-2016 01:30,37.528295
04-06-2016 01:45,46.994977
04-06-2016 02:00,35.749186
04-06-2016 02:15,36.927539
